ROUTE,AVERAGE_CO2_PER_PERSON_TONNES,AVERAGE_CO2_PER_PERSON_KG,AVERAGE_CO2_TONNES,FLIGHT_COUNT
KTG-PNK,0.024966386554621845,24.966386554621845,1.4855,8
SJO-TMU,0.024930977963940993,24.930977963940993,0.2336470588235294,17
BOG-IBE,0.024925653594771238,24.925653594771237,3.813625,8
BKI-BWN,0.024924430034480985,24.924430034480984,4.265846153846154,13
PKZ-SAI,0.024907563025210085,24.907563025210084,1.482,1
NUE-VIE,0.02490196078431373,24.90196078431373,0.09475,12
NGS-TSJ,0.024846813725490198,24.846813725490197,1.01375,16
CFU-SKG,0.024820261437908497,24.8202614379085,1.5190000000000001,2
BZE-FRS,0.024803921568627454,24.803921568627455,0.253,2
CGP-DAC,0.02477438187738765,24.77438187738765,2.4499583333333335,48
ANC-ENA,0.02477124183006538,24.77124183006538,0.18949999999999997,54
CPH-RNN,0.02476822250639386,24.76822250639386,0.9684375,16
MAN-SOU,0.02476691657054979,24.766916570549792,1.508,10
PUQ-WPU,0.024737507906388363,24.737507906388362,1.9555,2
EOH-MTR,0.02471708683473389,24.717086834733887,1.4706666666666666,15
AAR-CPH,0.024710209208151993,24.710209208151994,3.0391555555555554,45
BET-VAK,0.02470588235294118,24.70588235294118,0.189,4
ATH-SKU,0.02465890522875817,24.65890522875817,1.11825,4
LAH-TTE,0.024638655462184873,24.63865546218487,1.466,3
ADD-DSE,0.02463046757164404,24.63046757164404,1.6329999999999998,10
CAB-NBJ,0.024626391096979335,24.626391096979336,1.549,8
AKL-TRG,0.02461043385680065,24.61043385680065,1.2766923076923076,39
LPQ-VTE,0.024610199904777454,24.610199904777453,1.635,11
LNB-VLI,0.024605042016806723,24.605042016806724,1.464,2
TLL-TMP,0.024594594594594593,24.594594594594593,3.094,2
SRY-THR,0.02458683473389356,24.58683473389356,2.03225,4
BSG-DLA,0.024583333333333332,24.583333333333332,1.003,1
ALG-TID,0.024554367201426026,24.554367201426025,1.3775,2
KIS-OLX,0.02454248366013072,24.54248366013072,0.3755,4
KIS-MRE,0.02454248366013072,24.54248366013072,0.3755,4
KIS-OSJ,0.02454248366013072,24.54248366013072,0.3755,4
KIS-KTJ,0.02454248366013072,24.54248366013072,0.3755,4
AGP-TNG,0.02454092748210395,24.54092748210395,3.9425,2
NDB-NKC,0.024533333333333334,24.533333333333335,1.0426666666666666,3
VCA-VCS,0.02451797385620915,24.51797385620915,1.5005,2
MRE-OLX,0.02450980392156863,24.50980392156863,0.125,1
KTJ-MDR,0.02450980392156863,24.50980392156863,0.125,2
ALF-TOS,0.024448172043010755,24.448172043010754,1.581,5
HNL-LUP,0.024444444444444446,24.444444444444446,0.187,4
CEB-CGY,0.02438670973394007,24.386709733940073,2.297,36
ATH-JTR,0.02438408799336791,24.38408799336791,1.865840909090909,44
ATH-JKH,0.02438192668371697,24.38192668371697,1.4614347826086955,23
SPB-SSB,0.024352941176470588,24.352941176470587,0.3105,16
YGV-YPN,0.024352711844971908,24.352711844971907,0.287,3
ATQ-SLV,0.02434453781512605,24.34453781512605,1.4485000000000001,2
YAB-YIO,0.024341736694677873,24.341736694677873,0.869,1
HMA-NYA,0.024336134453781515,24.336134453781515,1.448,2
ITM-TJH,0.024325980392156867,24.32598039215687,0.9925,4
MUU-SSA,0.02431372549019608,24.31372549019608,0.186,1
GUA-TAP,0.02430795847750865,24.307958477508652,0.7025,2
NYK-UAS,0.024305555555555556,24.305555555555557,0.25775,8
DLI-VCA,0.02430408868092692,24.30408868092692,4.6295,8
DPS-LOP,0.024267306922769107,24.267306922769105,2.171214285714286,14
MCT-MSH,0.024254901960784316,24.254901960784316,3.7110000000000003,8
YTQ-YVP,0.024241486068111457,24.241486068111456,0.3915,4
OLG-WIL,0.024155934563174386,24.155934563174387,0.33615384615384614,13
FUJ-FUK,0.024148781134075252,24.148781134075254,1.2392777777777777,18
CEB-ILO,0.02413918522376222,24.139185223762222,2.4719333333333333,30
SLU-SVD,0.024131603945926196,24.131603945926198,0.9137142857142857,7
KBV-USM,0.02412605042016807,24.12605042016807,1.4355,8
HFA-LCA,0.0241171468587435,24.1171468587435,1.4645,14
ANA-WIL,0.024072398190045252,24.072398190045252,0.266,4
MDR-WIL,0.024072398190045252,24.072398190045252,0.266,4
KIH-PGU,0.024067226890756303,24.067226890756302,1.432,4
LBV-OYE,0.024067226890756303,24.067226890756302,1.4320000000000002,6
IXT-JRH,0.0240672268907563,24.0672268907563,1.432,2
HRG-RMF,0.02405851229380641,24.05851229380641,3.865,1
GIC-HID,0.02405228758169935,24.05228758169935,0.21400000000000002,5
HGN-LPT,0.024050420168067226,24.050420168067227,1.4309999999999998,3
ADD-JIM,0.02402714932126697,24.02714932126697,1.593,8
BDJ-KBU,0.023966386554621848,23.96638655462185,1.426,2
ASV-WIL,0.023961454667337026,23.961454667337026,0.21919999999999998,15
AKY-MDL,0.023929738562091504,23.929738562091504,1.4645000000000001,2
ACC-TKD,0.02386366782006919,23.863667820069193,1.0142058823529412,34
BJR-DSE,0.023846153846153847,23.846153846153847,1.581,2
AJA-NCE,0.023839869281045756,23.839869281045758,1.4589999999999999,30
LPA-SPC,0.023802144932046895,23.802144932046897,1.4520833333333334,36
FUE-TFN,0.023794661204576493,23.794661204576492,1.4445172413793106,29
INV-KOI,0.023790849673202618,23.79084967320262,0.9706666666666667,3
DGH-PAT,0.023755656108597284,23.755656108597282,1.575,2
GND-SVD,0.02371732026143791,23.71732026143791,0.9676666666666666,3
CNF-IPN,0.023647058823529424,23.647058823529424,1.407,22
LCE-SAP,0.02362910216718266,23.62910216718266,0.84475,8
EVE-TOS,0.023623529411764703,23.623529411764704,1.004,4
ACC-KMS,0.023621621621621614,23.621621621621614,1.003918918918919,74
ANU-SXM,0.023617930346675805,23.617930346675806,0.6164545454545455,11
CPV-REC,0.023610084033613442,23.610084033613443,1.4048,10
BOB-PPT,0.02357250042874293,23.57250042874293,1.399326530612245,49
MNS-NLA,0.023571331981068293,23.571331981068294,0.59,3
BIA-NCE,0.023570261437908496,23.570261437908496,1.4425,24
MAH-PMI,0.023568269415609387,23.568269415609386,1.6510624999999999,32
BIU-RKV,0.023560371517027865,23.560371517027864,0.3805,4
YUT-YZS,0.023557422969187676,23.557422969187677,0.841,1
FSP-YYT,0.023554987212276213,23.554987212276213,0.921,2
GIU-WRZ,0.023529411764705882,23.52941176470588,0.16,1
HID-NLF,0.023504901960784315,23.504901960784316,0.23975000000000002,4
CEB-DGT,0.023486234076793143,23.486234076793142,2.6645,8
