ROUTE,AVERAGE_CO2_TONNES,FLIGHT_COUNT
BRU-NRT,194.825,2
AMS-LAX,194.79925,8
SIN-SYD,194.7309221556886,167
CDG-SZX,194.5555,2
HKG-RUH,194.4993333333333,18
PRG-PVR,194.4925,2
SYD-WUH,194.482,2
ANC-LCK,194.441,1
AMS-PKX,194.3665,2
AKL-TFU,194.34,1
BKK-LED,194.33350000000002,2
FRA-SJD,194.199,2
HOG-PRG,194.0855,2
ANC-NLU,194.0852,5
DXB-LIS,193.832,8
FLN-LIS,193.7285,2
HEL-SIN,193.612,6
DUB-PEK,193.579,2
CPH-SIN,193.464,14
GRU-LAD,193.4085,4
CCS-IST,193.34,2
CUN-IST,193.338,2
HKT-MAN,193.0205,4
DUS-DXB,192.97424999999998,8
DEL-SYD,192.86599999999999,8
CMB-SYD,192.755,2
AKL-SZX,192.6685,2
HND-MSP,192.504,4
FRA-YVR,192.459,8
DXB-LAD,192.406,4
DME-HRI,192.324,2
BKK-RUN,192.207,2
CKG-MAD,192.0395,2
FRA-SGN,191.981,6
HKG-MEL,191.89246808510637,47
FRA-MLE,191.8045,12
DWC-SZX,191.765,1
AUH-DUB,191.645,10
HNL-MNL,191.6325,4
FRA-HKT,191.58350000000002,2
JFK-TAS,191.57,2
LHR-SAN,191.56049999999996,12
BAH-LUX,191.534,1
ICN-WRO,191.426,2
DTW-HND,191.3115,4
DPS-IST,191.26299999999998,2
CAI-HKG,191.248,1
MAD-PEK,191.22979999999998,5
HGH-MEL,191.1325,2
BRU-IAD,191.0575,12
BUD-CAN,190.914,2
MUC-PEK,190.9125,8
MXP-SIN,190.88500000000002,22
ANC-JFK,190.75872222222222,18
NAN-SFO,190.69475,8
FCO-GRU,190.53453333333334,15
CLT-LHR,190.51329629629632,27
JNB-PER,190.38150000000002,4
DFW-NAN,190.24699999999999,3
GOT-KBV,189.984,1
FRA-MAA,189.98,7
DPS-SVO,189.9385,2
CDG-FOR,189.65449999999998,6
HND-MUC,189.56199999999998,8
AMS-DEL,189.5615,8
DEL-KBP,189.458,1
FCO-MEX,189.297,4
CDG-CPT,189.2405,6
NAN-SIN,189.2288125,16
LAX-TFU,189.105,1
GIG-MAD,189.0020769230769,13
FCO-WNZ,188.9765,2
BOS-HNL,188.94062499999998,8
LIS-SFO,188.93142857142857,7
MUC-SGN,188.93099999999998,2
MUC-SIN,188.894,16
AMS-DWC,188.88750000000002,6
HEL-KBV,188.78325,4
POP-ZRH,188.735,2
CDG-SLC,188.67585714285715,7
DYR-SVO,188.583,2
HKG-NAN,188.4964,10
CAN-CDG,188.3225,2
HAN-LHR,188.2335,4
DUB-LAX,188.2255,6
DUB-DXB,188.08055555555555,9
HKT-LGW,188.06866666666667,6
AMS-PEK,188.01728571428572,7
IST-SIN,187.95736842105262,19
DMM-LUX,187.709,2
DAC-GYD,187.70850000000002,2
BKK-MXP,187.5405,2
FRA-GIG,187.538,12
LGW-MCO,187.4993333333333,12
FRA-WDH,187.3507857142857,14
FCO-SIN,187.2295,14
GIG-MIA,187.172,8
XMN-YVR,187.1135,2
PVG-SEA,187.09300000000002,4
BKK-FCO,186.9445,4
MAN-PVG,186.882,2
SVO-VVO,186.87490909090909,11
HKT-TJM,186.7345,2
MAD-SCU,186.70899999999997,3
MED-SUB,186.706,2
